visitor,total,items,itemTypes,visits,visitsNonPurchase,category,type,site
102220,57.15,6,6,9,3,Cat45,Type1,www.site5.com
102221,30.58,2,2,4,2,Cat14,none,www.site1.com
102222,52.24,4,4,6,2,none,none,www.site1.com
102223,34.23,4,4,6,2,Cat45,Type1,www.site5.com
102224,125.74,1,1,2,1,Cat19,Type2,www.site4.com
102225,123.96,11,6,7,1,Cat23,none,www.site1.com
102226,68.04,6,5,6,1,Cat3,Type1,www.site2.com
102227,50.01,3,3,4,1,none,none,www.site1.com
102228,38.74,4,4,5,1,Cat3,Type1,www.site2.com
102229,59.0,1,1,2,1,Cat3,Type1,www.site2.com
102230,124.49,8,5,6,1,Cat58,none,www.site1.com
102231,42.94,4,4,5,1,none,none,www.site1.com
102232,132.16,10,7,13,6,Cat42,none,www.site1.com
102233,114.96,1,1,2,1,Cat24,none,www.site1.com
102234,123.65,14,13,14,1,Cat1,none,www.site1.com
102235,50.64,3,3,6,3,Cat13,Type1,www.site3.com
102236,145.09,18,14,15,1,Cat22,Type2,www.site3.com
102237,34.99,2,2,3,1,Cat4,Type1,www.site3.com
102238,70.49,11,11,13,2,Cat11,none,www.site1.com
102239,74.39,9,8,10,2,Cat52,none,www.site1.com
102240,121.1,10,8,11,3,Cat3,Type2,www.site2.com
102241,86.66,8,8,10,2,Cat6,none,www.site1.com
102242,64.25,8,7,8,1,Cat12,none,www.site1.com
102243,89.0,1,1,2,1,Cat16,none,www.site1.com
102244,396.2,17,5,6,1,Cat6,none,www.site1.com
102245,72.78,6,5,6,1,Cat3,Type1,www.site2.com
102246,56.98,1,1,2,1,Cat31,none,www.site1.com
102247,158.36,7,4,5,1,Cat59,none,www.site1.com
102248,55.96,2,2,4,2,Cat3,Type1,www.site2.com
102249,99.85,3,2,3,1,Cat6,none,www.site1.com
102250,52.0,3,3,4,1,Cat3,Type1,www.site2.com
102251,70.65,7,7,10,3,Cat41,none,www.site1.com
102252,19.96,1,1,2,1,Cat21,none,www.site1.com
102253,182.88,15,14,17,3,Cat3,Type1,www.site2.com
102254,95.92,2,2,4,2,Cat16,none,www.site1.com
102255,83.62,11,9,10,1,Cat12,none,www.site1.com
102256,3660.6,32,6,10,4,Cat60,none,www.site1.com
102257,1401.45,40,16,17,1,Cat3,Type1,www.site2.com
102258,11.88,2,2,3,1,Cat49,none,www.site1.com
102259,52.05,8,8,13,5,Cat60,none,www.site1.com
102260,151.96,2,1,2,1,Cat83,Type1,www.site12.com
102261,201.65,5,2,3,1,Cat45,Type1,www.site5.com
102262,101.25,8,7,8,1,Cat3,Type1,www.site2.com
102263,90.81,3,3,5,2,Cat17,none,www.site1.com
102264,44.99,1,1,2,1,none,none,www.site1.com
102265,59.78,4,3,5,2,Cat60,none,www.site1.com
102266,26.04,7,7,9,2,Cat4,Type1,www.site3.com
102267,6.0,1,1,2,1,Cat3,Type1,www.site2.com
102268,219.0,1,1,3,2,Cat11,none,www.site1.com
